account_id,account_name,industry,country,signup_date,referral_source,plan_tier,account_seats,is_trial,churn_flag,mrr_amount,arr_amount,subscription_seats,total_subscriptions,usage_count,usage_duration_secs,error_count,total_tickets,resolution_time_hours,first_response_time_minutes,satisfaction_score,escalation_flag,churned,tenure_days,seat_utilization
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,3468.25,41619.0,31.25,8,531,170826,42,2.0,24.5,30.5,4.0,0.0,1.0,954,1.4880952380952381
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,1895.142857142857,22741.714285714286,24.857142857142858,7,367,106259,13,6.0,50.166666666666664,94.83333333333333,4.25,1.0,1.0,500,1.6571428571428573
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,1976.3333333333333,23716.0,30.333333333333332,6,494,133559,19,6.0,41.666666666666664,79.16666666666667,3.5,0.0,0.0,970,1.0459770114942528
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,1627.3333333333333,19528.0,25.77777777777778,9,427,137244,18,5.0,36.0,59.0,3.6,0.0,0.0,1137,1.432098765432099
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,1162.375,13948.5,16.5,8,511,157711,25,3.0,26.0,108.66666666666667,4.0,1.0,1.0,882,4.125
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,1162.375,13948.5,16.5,8,511,157711,25,3.0,26.0,108.66666666666667,4.0,1.0,1.0,882,4.125
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,846.0,10152.0,14.928571428571429,14,653,191849,44,4.0,14.25,97.75,4.666666666666667,1.0,1.0,735,1.6587301587301588
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,846.0,10152.0,14.928571428571429,14,653,191849,44,4.0,14.25,97.75,4.666666666666667,1.0,1.0,735,1.6587301587301588
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,646.875,7762.5,13.125,8,337,98383,20,9.0,31.333333333333332,81.88888888888889,4.0,1.0,0.0,630,1.640625
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,2603.214285714286,31238.571428571428,24.857142857142858,14,687,208387,37,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0,1.0,607,8.285714285714286
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,2603.214285714286,31238.571428571428,24.857142857142858,14,687,208387,37,3.0,31.333333333333332,76.66666666666667,3.3333333333333335,0.0,1.0,607,8.285714285714286
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,9492.25,113907.0,86.0,8,402,127433,22,3.0,57.666666666666664,108.33333333333333,4.0,0.0,1.0,699,1.0
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,516.1428571428571,6193.714285714285,24.0,7,324,98113,20,0.0,0.0,0.0,0.0,0.0,1.0,562,24.0
A-9f2731,Company_24,FinTech,IN,2024-10-04,event,Enterprise,1,False,False,516.1428571428571,6193.714285714285,24.0,7,324,98113,20,0.0,0.0,0.0,0.0,0.0,1.0,562,24.0
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,1129.111111111111,13549.333333333334,29.333333333333332,9,488,150708,19,5.0,34.0,59.6,4.5,0.0,1.0,1139,1.1282051282051282
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,1129.111111111111,13549.333333333334,29.333333333333332,9,488,150708,19,5.0,34.0,59.6,4.5,0.0,1.0,1139,1.1282051282051282
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Enterprise,26,False,True,1129.111111111111,13549.333333333334,29.333333333333332,9,488,150708,19,5.0,34.0,59.6,4.5,0.0,1.0,1139,1.1282051282051282
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Enterprise,8,True,False,1569.0,18828.0,15.333333333333334,9,602,171366,31,2.0,33.0,120.5,0.0,0.0,0.0,947,1.9166666666666667
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,2027.0625,24324.75,25.8125,16,791,237055,37,4.0,49.75,119.0,5.0,0.0,0.0,1087,1.3585526315789473
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,4209.6,50515.2,32.4,10,538,185729,44,4.0,34.0,126.5,4.0,0.0,1.0,904,4.628571428571428
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Basic,20,False,False,1581.2857142857142,18975.428571428572,23.0,7,329,105214,12,2.0,61.5,27.0,3.5,0.0,1.0,935,1.15
A-396e5f,Company_30,Cybersecurity,CA,2024-10-02,other,Enterprise,2,False,False,1023.6,12283.2,17.6,10,540,175427,23,5.0,24.8,102.8,4.0,1.0,1.0,564,8.8
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,1173.7142857142858,14084.57142857143,17.142857142857142,7,424,124978,30,5.0,45.4,91.8,3.6666666666666665,0.0,0.0,1001,1.0714285714285714
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,1983.7272727272727,23804.727272727272,31.09090909090909,11,651,186929,32,3.0,43.0,84.0,3.0,0.0,1.0,661,2.2207792207792205
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Basic,14,False,True,1983.7272727272727,23804.727272727272,31.09090909090909,11,651,186929,32,3.0,43.0,84.0,3.0,0.0,1.0,661,2.2207792207792205
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,2,True,False,1438.3333333333333,17260.0,16.416666666666668,12,693,200177,27,6.0,23.666666666666668,90.16666666666667,4.0,0.0,1.0,1090,8.208333333333334
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Basic,7,False,False,1113.857142857143,13366.285714285714,31.857142857142858,7,385,125675,11,1.0,27.0,49.0,4.0,0.0,1.0,1145,4.551020408163265
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,114.0,1368.0,22.75,4,248,81119,13,7.0,40.857142857142854,76.14285714285714,4.6,0.0,1.0,707,4.55
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,1265.7777777777778,15189.333333333334,16.444444444444443,9,376,127515,31,8.0,30.75,82.5,4.25,1.0,0.0,1073,3.2888888888888888
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Enterprise,3,False,False,1677.5833333333333,20131.0,23.25,12,733,222582,53,4.0,64.0,110.0,4.0,0.0,1.0,664,7.75
A-854864,Company_38,FinTech,IN,2024-12-07,event,Enterprise,20,False,False,2459.8333333333335,29518.0,31.833333333333332,6,248,73517,10,5.0,44.2,100.8,4.8,0.0,1.0,498,1.5916666666666666
A-1b7577,Company_39,Cybersecurity,US,2024-10-27,other,Pro,4,False,False,797.3636363636364,9568.363636363636,17.545454545454547,11,647,195598,33,5.0,27.2,109.4,4.0,0.0,0.0,539,4.386363636363637
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,4259.083333333333,51109.0,45.083333333333336,12,706,207116,46,4.0,20.0,108.5,4.0,0.0,1.0,1081,1.4088541666666667
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Basic,32,False,False,4259.083333333333,51109.0,45.083333333333336,12,706,207116,46,4.0,20.0,108.5,4.0,0.0,1.0,1081,1.4088541666666667
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2,False,False,509.2857142857143,6111.428571428572,17.142857142857142,7,493,146301,31,3.0,40.333333333333336,136.33333333333334,4.333333333333333,0.0,0.0,602,8.571428571428571
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,2634.4,31612.8,35.86666666666667,15,734,227186,38,1.0,36.0,135.0,3.0,0.0,0.0,1132,1.0549019607843138
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,2491.846153846154,29902.153846153848,29.23076923076923,13,666,215735,31,2.0,12.0,78.0,4.5,0.0,1.0,1132,2.087912087912088
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,14,False,False,2491.846153846154,29902.153846153848,29.23076923076923,13,666,215735,31,2.0,12.0,78.0,4.5,0.0,1.0,1132,2.087912087912088
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,1497.3076923076924,17967.69230769231,15.923076923076923,13,672,210327,36,3.0,42.666666666666664,111.33333333333333,3.5,0.0,1.0,652,7.961538461538462
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,2907.1,34885.2,29.6,10,465,127997,19,3.0,26.333333333333332,82.0,5.0,0.0,1.0,720,4.228571428571429
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,944.9090909090909,11338.90909090909,23.818181818181817,11,597,172764,31,2.0,18.5,141.0,4.5,1.0,1.0,1108,2.646464646464646
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,2547.3333333333335,30568.0,28.8,15,693,203946,27,5.0,22.4,67.4,4.333333333333333,0.0,1.0,784,5.76
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,1706.25,20475.0,15.916666666666666,12,489,131835,21,4.0,42.25,83.0,3.6666666666666665,0.0,1.0,535,2.6527777777777777
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,1821.2307692307693,21854.76923076923,20.923076923076923,13,523,177958,24,5.0,27.4,46.6,4.0,0.0,1.0,950,1.6094674556213018
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,1821.2307692307693,21854.76923076923,20.923076923076923,13,523,177958,24,5.0,27.4,46.6,4.0,0.0,1.0,950,1.6094674556213018
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,1821.2307692307693,21854.76923076923,20.923076923076923,13,523,177958,24,5.0,27.4,46.6,4.0,0.0,1.0,950,1.6094674556213018
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,1590.6666666666667,19088.0,47.25,12,696,236693,60,2.0,42.0,38.0,3.0,0.0,1.0,772,1.0053191489361701
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,1590.6666666666667,19088.0,47.25,12,696,236693,60,2.0,42.0,38.0,3.0,0.0,1.0,772,1.0053191489361701
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,1590.6666666666667,19088.0,47.25,12,696,236693,60,2.0,42.0,38.0,3.0,0.0,1.0,772,1.0053191489361701
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,1999.3125,23991.75,19.8125,16,746,204124,63,3.0,47.333333333333336,87.66666666666667,5.0,0.0,1.0,751,1.5240384615384615
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,2400.909090909091,28810.909090909092,25.454545454545453,11,514,169854,34,6.0,23.333333333333332,100.5,4.0,0.0,1.0,1109,1.1570247933884297
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,3223.75,38685.0,28.75,8,375,127687,30,3.0,50.333333333333336,93.66666666666667,4.0,0.0,1.0,986,1.1057692307692308
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,3223.75,38685.0,28.75,8,375,127687,30,3.0,50.333333333333336,93.66666666666667,4.0,0.0,1.0,986,1.1057692307692308
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,562.25,6747.0,22.75,8,418,115325,22,2.0,34.5,61.5,3.5,0.0,1.0,1202,1.1375
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,562.25,6747.0,22.75,8,418,115325,22,2.0,34.5,61.5,3.5,0.0,1.0,1202,1.1375
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,562.25,6747.0,22.75,8,418,115325,22,2.0,34.5,61.5,3.5,0.0,1.0,1202,1.1375
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,3003.75,36045.0,36.0,16,818,271358,27,3.0,48.333333333333336,43.0,3.5,0.0,0.0,771,1.0
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,1166.5,13998.0,16.25,8,399,110456,12,3.0,42.666666666666664,75.33333333333333,0.0,0.0,1.0,1010,16.25
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,1525.1764705882354,18302.117647058825,23.58823529411765,17,924,261489,59,4.0,35.25,37.25,4.333333333333333,0.0,0.0,649,23.58823529411765
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,2414.6153846153848,28975.384615384617,30.23076923076923,13,477,148106,25,2.0,15.0,98.5,4.0,0.0,1.0,606,1.5115384615384615
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,1046.6666666666667,12560.0,15.333333333333334,9,439,120226,17,3.0,37.0,69.66666666666667,4.0,0.0,1.0,1146,1.7037037037037037
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,1009.6666666666666,12116.0,22.666666666666668,12,565,187525,38,6.0,28.5,78.83333333333333,4.5,0.0,1.0,595,2.8333333333333335
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,1889.4166666666667,22673.0,41.0,12,464,150051,25,6.0,26.833333333333332,80.5,3.5,0.0,1.0,1082,1.0
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,699.6,8395.2,33.0,5,295,102452,22,4.0,17.0,65.25,3.75,0.0,1.0,570,1.0
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,699.6,8395.2,33.0,5,295,102452,22,4.0,17.0,65.25,3.75,0.0,1.0,570,1.0
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,699.6,8395.2,33.0,5,295,102452,22,4.0,17.0,65.25,3.75,0.0,1.0,570,1.0
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,2498.230769230769,29978.76923076923,34.92307692307692,13,729,220382,45,5.0,30.2,102.6,5.0,0.0,0.0,669,6.984615384615384
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,4111.6,49339.2,48.4,10,511,173162,35,5.0,39.4,62.6,4.0,0.0,1.0,883,1.0521739130434782
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,1993.25,23919.0,16.75,12,599,168143,33,5.0,24.2,56.8,4.333333333333333,0.0,1.0,544,2.09375
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,1993.25,23919.0,16.75,12,599,168143,33,5.0,24.2,56.8,4.333333333333333,0.0,1.0,544,2.09375
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,4355.666666666667,52268.0,43.888888888888886,9,565,159213,45,5.0,51.4,134.6,3.5,1.0,1.0,735,1.020671834625323
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,4355.666666666667,52268.0,43.888888888888886,9,565,159213,45,5.0,51.4,134.6,3.5,1.0,1.0,735,1.020671834625323
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,4355.666666666667,52268.0,43.888888888888886,9,565,159213,45,5.0,51.4,134.6,3.5,1.0,1.0,735,1.020671834625323
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,False,1343.357142857143,16120.285714285714,14.428571428571429,14,528,149124,31,2.0,45.0,82.0,4.0,0.0,1.0,654,14.428571428571429
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,2544.909090909091,30538.909090909092,29.636363636363637,11,396,123655,26,4.0,29.5,135.5,4.0,0.0,1.0,1134,1.6464646464646464
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,2544.909090909091,30538.909090909092,29.636363636363637,11,396,123655,26,4.0,29.5,135.5,4.0,0.0,1.0,1134,1.6464646464646464
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,2138.6923076923076,25664.30769230769,28.307692307692307,13,692,196300,25,5.0,35.4,63.0,4.75,0.0,0.0,648,1.3479853479853479
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,1778.1666666666667,21338.0,25.166666666666668,6,393,117237,13,2.0,15.5,103.0,4.0,0.0,1.0,521,1.6777777777777778
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,1643.75,19725.0,27.583333333333332,12,597,196701,22,4.0,33.5,156.5,4.0,0.0,1.0,934,5.516666666666667
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,1643.75,19725.0,27.583333333333332,12,597,196701,22,4.0,33.5,156.5,4.0,0.0,1.0,934,5.516666666666667
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,963.9166666666666,11567.0,14.833333333333334,12,545,183399,43,1.0,72.0,105.0,4.0,0.0,1.0,926,2.119047619047619
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,3598.4,43180.8,40.6,15,689,206138,61,2.0,39.0,167.0,5.0,0.0,0.0,501,1.0972972972972974
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,1800.25,21603.0,14.125,8,366,118465,20,3.0,17.666666666666668,120.66666666666667,4.0,0.0,0.0,1110,14.125
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,False,708.6666666666666,8504.0,10.916666666666666,12,581,181056,30,3.0,36.666666666666664,51.666666666666664,3.0,0.0,1.0,863,2.183333333333333
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,2354.0,28248.0,44.0,14,684,219304,28,3.0,17.333333333333332,84.66666666666667,4.5,1.0,1.0,752,1.0
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,963.9166666666666,11567.0,26.25,12,511,150876,33,4.0,33.75,98.25,3.0,0.0,1.0,1090,2.019230769230769
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,963.9166666666666,11567.0,26.25,12,511,150876,33,4.0,33.75,98.25,3.0,0.0,1.0,1090,2.019230769230769
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,963.9166666666666,11567.0,26.25,12,511,150876,33,4.0,33.75,98.25,3.0,0.0,1.0,1090,2.019230769230769
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,963.9166666666666,11567.0,26.25,12,511,150876,33,4.0,33.75,98.25,3.0,0.0,1.0,1090,2.019230769230769
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,2868.1111111111113,34417.333333333336,21.22222222222222,9,451,151460,28,1.0,51.0,128.0,0.0,0.0,0.0,1168,5.305555555555555
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,438.875,5266.5,19.125,8,538,158701,31,8.0,41.25,59.75,3.3333333333333335,1.0,1.0,1074,19.125
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,438.875,5266.5,19.125,8,538,158701,31,8.0,41.25,59.75,3.3333333333333335,1.0,1.0,1074,19.125
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,438.875,5266.5,19.125,8,538,158701,31,8.0,41.25,59.75,3.3333333333333335,1.0,1.0,1074,19.125
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,438.875,5266.5,19.125,8,538,158701,31,8.0,41.25,59.75,3.3333333333333335,1.0,1.0,1074,19.125
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,3645.6,43747.2,65.2,10,455,124429,21,3.0,37.333333333333336,74.0,4.5,0.0,1.0,989,1.1642857142857144
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,1353.2,16238.4,11.4,10,335,96672,17,4.0,28.5,61.0,5.0,0.0,0.0,788,1.2666666666666666
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,1830.6315789473683,21967.57894736842,21.05263157894737,19,993,281986,45,3.0,35.666666666666664,128.33333333333334,4.0,0.0,1.0,1023,1.9138755980861246
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,1539.0,18468.0,38.0,8,461,147051,32,3.0,26.666666666666668,107.33333333333333,4.0,0.0,1.0,519,1.0
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,1539.0,18468.0,38.0,8,461,147051,32,3.0,26.666666666666668,107.33333333333333,4.0,0.0,1.0,519,1.0
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,2450.5,29406.0,39.0,8,373,114563,16,1.0,36.0,79.0,0.0,0.0,1.0,1165,1.0263157894736843
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,2450.5,29406.0,39.0,8,373,114563,16,1.0,36.0,79.0,0.0,0.0,1.0,1165,1.0263157894736843
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,1719.125,20629.5,24.75,16,696,186928,26,3.0,42.333333333333336,118.0,3.0,1.0,1.0,892,1.546875
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,1719.125,20629.5,24.75,16,696,186928,26,3.0,42.333333333333336,118.0,3.0,1.0,1.0,892,1.546875
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,2591.5555555555557,31098.666666666668,21.555555555555557,9,402,114217,17,7.0,30.571428571428573,94.71428571428571,3.6666666666666665,0.0,1.0,868,1.3472222222222223
A-66224b,Company_87,HealthTech,US,2024-10-18,other,Pro,92,True,False,5765.333333333333,69184.0,93.58333333333333,12,626,185229,29,6.0,39.833333333333336,82.5,3.5,0.0,0.0,548,1.0172101449275361
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,3127.714285714286,37532.57142857143,41.0,7,404,115260,16,0.0,0.0,0.0,0.0,0.0,0.0,1176,1.0
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,other,Pro,24,False,False,1577.125,18925.5,42.25,8,438,156949,22,5.0,33.2,50.4,3.75,1.0,1.0,610,1.7604166666666667
